text,label
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
This movie is fantastic!,1
I hated this movie.,0
It was an average film.,0
